Name,Ingredients,Direction
Mashed Potato Casserole,"['4 -6       russet potatoes', '8   ounces    cream cheese', '8   ounces    sour cream', '  salt, to taste ', '  pepper, to taste ', '  garlic powder, to taste ', '3   cups    cheese, shredded ']","['Peel, chop, and boil (about 20-25 minutes) the potatoes. Drain.\r', 'Mix (preferably with a hand mixer) with cream cheese, sour cream, and seasonings.\r', 'Mix in two handfuls of shredded cheese.\r', 'Pour into a greased pan and top with more shredded cheese.\r', 'Cook at 350F until heated (about 30 minutes).']"
"Easy, Creamy Hamburger Stroganoff","['1   lb    hamburger', '1       onion, diced ', '1       garlic clove, minced ', '1 (10 1/2  ounce) can   cream of mushroom soup', '1   cup    sour cream', '2   teaspoons    dry mustard', '4   tablespoons    milk', '  salt', '  pepper']","['Brown hamburger in large skillet with onion and garlic.', 'Drain out fat and add soup, sour cream, mustard and milk.', 'Simmer for 5 minutes.', 'Add salt and pepper for taste, and serve with egg noodles or rice.']"
Linguini With Garlicky Shrimp and Fresh Tomatoes,"['6   ounces    linguine', '2   tablespoons    unsalted butter', '1   lb    large shrimp, peeled and deveined ', '1/2  teaspoon    salt', '6       garlic cloves, minced ', '1/8  teaspoon    crushed red pepper flakes', '4       plum tomatoes, chopped ', '3   tablespoons    parsley, chopped ', '1   tablespoon    lemon juice']","['Cook the linguine as per directions, drain.', 'Meanwhile, melt 2 tsp butter in large skillet over med-high heat. Sprinkle the shrimp with 1/4 tsp of salt and add to skillet.', 'Cook until pink and opaque, 1 1/2 -2 min each side. Transfer to a plate.', 'Melt the remaining butter in the same skillet over med-high heat. Add garlic and crushed red pepper, soak stirring until fragrant about 30 seconds.  Add the tomatoes and remaining salt, cook striirring occassionally, until the tomatoes just begin to wilt, 1-2 minutes.', 'Add shrinp and cook until heated through, about 1 min longer.', 'Add the cooked linguini, parsley, and lemon juice, cook, tossing until combined.']"
Great Buffalo Chicken Pizza,"['1       pizza dough (12 inch)', '1/2  lb    chicken tenders, grilled ', '4   tablespoons    butter, melted ', '1/4  cup    hot sauce', '1/3  cup    ranch dressing', '2   cups    mozzarella cheese, grated ']","['Preheat the oven to 400.', 'Dice the cooked chicken.', 'Melt the butter, add the hot sauce and toss with the chicken.', 'Spread the ranch dressing on the pizza crust.', 'Top with the chicken.', 'Sprinkle on the cheese and bake for 10-12 minutes (or until the cheese is lightly browned).', 'It is ready to be devoured!']"
Super Baked Spaghetti Pie,"['6   ounces   uncooked spaghetti', '1/3  cup   grated parmesan cheese', '1       egg, beaten ', '1   tablespoon    margarine, melted ', '1   cup    small curd cottage cheese, drained ', '1/2  lb    lean ground beef', '1/2  lb    sausage', '1/2  cup   chopped onion', '1 (15   ounce) can   tomato sauce', '1   teaspoon    garlic powder', '1   tablespoon    sugar', '1/2  teaspoon    salt', '1/2  teaspoon    seasoned pepper', '1   teaspoon    oregano', '1/2  cup   shredded mozzarella cheese']","['Cook spaghetti according to package directions.\r', 'While spaghetti is still warm, stir in parmesan cheese, egg, and margarine in  a large bowl.\r', 'Pour into well greased 10 inch pie plate and pat mixture up and around sides with a spoon to form a crust.\r', 'Spoon cottage cheese over spaghetti crust.\r', 'In a skillet, brown ground meat, sausage, and onion, then drain off fat and add tomato sauce and seasonings.\r', 'Simmer 10 minutes, stirring occasionally.\r', 'Spoon meat mixture over the cottage cheese.\r', 'Bake at 350 degrees for 30 minutes.\r', 'Arrange mozzarella on top and return to oven just until cheese melts.']"
Mom's Potato Salad,"['6      boiled potatoes, cut in chunks ', '4       hard-boiled eggs, chopped ', '1/2-1       onion, chopped ', '6       green onions, sliced thin ', '3   stalks    celery, chopped ', '1/3  cup    Miracle Whip', '1/3  cup    mayonnaise', '1/3  cup    sour cream', '  salt and pepper', '  paprika (optional)', '  parsley (optional)']","['Toss together.', 'chill.', 'EAT!']"
Tomato and Camembert Tart,"['1 1/2  cups    flour', '6   tablespoons   cold unsalted butter, cut into 1/2-inch pieces ', '1/2  teaspoon    salt', '1/2  teaspoon    fresh coarse ground black pepper', '2   tablespoons   add more as needed extra virgin olive oil', '1   tablespoon    water', '1   tablespoon    Dijon mustard', '1/2  cup   grated gruyere cheese', '4       plum tomatoes, cut into 1/2-inch slices and seeds removed ', '6   ounces    camembert cheese, sliced into 1/8-inch strips ', '1/2  cup    extra virgin olive oil', '1/4  cup    fresh parsley, chopped ', '1/4  cup    fresh basil, chopped ', '1   teaspoon    fresh rosemary, finely chopped ', '1   tablespoon    fresh thyme leave', '1   small    bay leaf, finely crumbled ', '2       garlic cloves, minced ']","['To make the tart dough: \r', 'Using a pastry blender(or 2 knives), mix the flour, butter, salt, and pepper until mixture resembles coarse meal. \r', 'Using a fork, mix in 2 tablespoons of the oil and the water just until the bottom of the mixture begins to cling together. If necessary, add an additional tablespoon of oil. \r', 'Gather the dough into a ball, flatten into a disk, wrap in plastic wrap, and chill for 30 minutes. \r', 'Preheat oven to 375 degrees F. \r', 'Roll out the chilled dough into a 14-inch circle and place it into a tart pan; set aside. \r', 'Spread the mustard over the bottom of the tart shell. Sprinkle the Gruy&egrave;re evenly over the mustard and alternately place the tomato and Camembert over the Gruy&egrave;re.\r', 'In a small bowl, mix the remaining 1/2 cup of extra-virgin olive oil, all of the herbs, and the garlic together and brush two-thirds of the mixture over the tart. Bake on the middle shelf of the oven for 35 minutes. \r', 'Remove the tart and brush it with the remaining oil. Serve warm. Enjoy!']"
Slow and Easy Beef Stew,"['2   lbs    stewing beef', '4       carrots, cut up ', '2       onions, cut up ', '4       potatoes, cut up ', '1 (10 1/2  ounce) can   cream of mushroom soup, diluted with below ', '1/2  cup    water']","['Layer in large casserole or Dutch oven in order given.', 'Cover and bake for 5 hours at 275 degrees fahrenheit.', 'Note:  This can also be cooked in a crock pot on high.']"
Pan-Grilled Salmon,"['1/3  cup    tamari (or low-sodium soy sauce)', '2       garlic cloves, minced ', '1   tablespoon   grated fresh ginger', '1   teaspoon    sesame oil', '1   tablespoon    honey', '1   lb    salmon fillet', ' chopped green onion']","['Whisk together soy sauce, garlic, ginger, and honey in a bowl.', 'Remove and set aside 1/4 cup of mixture.', 'Place salmon fillets in a shallow dish and pour marinade over top.', 'Cover and chill 5 minutes.', 'Heat sesame oil in large skillet over medium-high heat.', 'Remove fillets from marinade; discard remaining marinade.', 'Cook, skin side up, 5 minutes; turn and coat with reserved marinade.', 'Cook 5 to 7 minutes more or until fish flakes with a fork.', 'Top with green onions (optional).']"
Slow-Cooked Baked Apples,"['4 -5       baking apples', '1   tablespoon    lemon juice', '1/3  cup    craisins', '1/2  cup    pecans, chopped ', '3/4  cup    brown sugar', '1/2  teaspoon    cinnamon', '1/4  cup    butter, softened ']","['Scoop out center of each apple and and leave cavity about 1/2 in from bottom.', 'Peel top of apples down about 1 in and brush lemon juice on top.', 'In bowl, combine craisins, pecans, brown sugar, cinnamon, and butter.  Spoon mixture into apple cavities.', 'Pour 1/2 c water in sprayed crockpot and arrange apples inside.', 'Cover and cook on low 1-3 hrs or until tender.', 'Serve warm or room temperature with carmel ice cream topping.', '(Serving over ice cream is optional and recommended).']"
Green Tea and Tamarind-Marinated Tofu With Vegetables,"['1       garlic clove, finely chopped ', '1   tablespoon   minced fresh gingerroot', '2   tablespoons   prepared tamarind paste', '1   tablespoon    rice vinegar', '1   tablespoon   jasmine green tea leaves', '1 (14   ounce) package   firm tofu, drained and patted dry, cut into 1-inch chunks ', '1   tablespoon    peanut oil or 1   tablespoon    canola oil, more if needed ', '  tamari, to taste ', '1/2  cup   chopped fresh mushrooms', '1/2  large    red onion, sliced ', '1   medium    red pepper, chopped ', '2   cups   packed broccoli florets', '1   tablespoon    toasted sesame oil']","['Place garlic, ginger, tamarind sauce, rice vinegar and tea leaves in a container with a tight fitting lid. Add tofu cubes and toss well. Marinate all day or overnight, shaking the container occasionally to distribute the marinade. \r', 'Heat the oil in a large skillet over medium-high heat. Drain the tofu and reserve the marinade. Add tofu and tamari to taste to hot oil and cook, stirring almost constantly for 5 to 7 minutes, or until tofu is very hot. Transfer to a bowl and set aside.\r', 'Add additional oil to the hot skillet if needed, followed by the vegetables and remaining marinade. Again, season to taste with tamari. Cook for 5 to 7 minutes, stirring frequently, or until broccoli is crisp-tender and pan juices have evaporated. Return tofu to skillet and toss to combine. Drizzle with sesame oil and serve.']"
White Cucumber Gazpacho,"['1 1/2  lbs    cucumbers (3 medium sized peeled, chopped)', '1       garlic clove, crushed ', '3   tablespoons    sweet onions, chopped ', '1   cup    fat free chicken broth, more as desired ', '2   cups    plain fat-free yogurt (substitute ( full fat or low fat)', '1   tablespoon    lemon juice, fresh squeezed ', '1   teaspoon    kosher salt', '1/2  teaspoon    white pepper (substitute black pepper)']","['Clean and peel cucumbers, chopping them into chunks. If desired, English cucumbers can be substituted for common cucumbers.', 'Chop garlic and sweet onion into pieces. Place garlic, onions, cucumbers, and 1/2 cup of chicken stock into a food processor or blender. Blend until somewhat smooth in texture with some chunks of cucumber remaining or blend to consistency desired. Place blended ingredients in a large bowl.', 'Add yogurt, remaining chicken stock, lemon juice, salt, and pepper to combined ingredients in bowl and whisk all contents together until well blended. Season to taste. Add more chicken broth if necessary to achieve desired consistency.', 'Pour soup into a tightly covered container and place in refrigerator to chill for several hours or overnight.', 'Serve cold. You may choose to garnish with fresh herbs such as parsley, cilantro or basil. Sprinkle freshly grated Parmesan cheese or any other hard cheese desired, such as sharp cheddar.']"
Gumbo,"['1/2  cup    vegetable oil', '1/2  cup    all-purpose flour', '1   large    onion, diced ', '1/2  cup   chopped fresh parsley', '1/2  cup   chopped celery', '1/2  cup   chopped green bell pepper', '1/2  cup   chopped red bell pepper', '1/2  cup   sliced scallion', '6   cloves   minced garlic', '4   cups    chicken broth', '1   teaspoon    salt', ""1   teaspoon    creole seasoning (Tony Chachere's)"", '2   lbs    shrimp or 2   lbs    chicken (etc.)']","['In a large stockpot combine oil and flour and cook over medium-high heat about 15 minutes or until it turns very dark brown, almost between brown and black.', 'You will have to stir almost constantly.', 'This is called the roux.', 'Add onions, parsley, celery, bell peppers, scallions and garlic and cook about 10 more minutes or until vegetables are tender, stirring regularly.', 'Add broth, salt, and creole seasoning.', '(If you like you may also add a 10 oz package of frozen okra at this point, but I despise the stuff).', 'Cover pot and simmer 15 minutes stirring occasionally.', ""Add your chosen combination of meat at this point and simmer an additional 10 minutes (if using whole pieces of crab like claws, or blue crab halves cook a little longer to ensure they're cooked all the way.)."", 'Ladle over steamed white rice.']"
Orange Chicken (Restaurant Style),"['1   cup    water', '1/2  cup    orange juice', '1/4  cup    lemon juice, fresh squeezed ', '1/3  cup    rice vinegar', '2 1/2  tablespoons    soy sauce', '1   tablespoon   grated orange zest', '1   cup   packed brown sugar', '1/2  teaspoon   minced fresh gingerroot', '1/2  teaspoon   minced garlic', '2   tablespoons   chopped green onions', '1/4  teaspoon    red pepper flakes', '3   tablespoons    cornstarch', '2   tablespoons    water', '2   lbs    boneless skinless chicken breasts, cut into 1/2 inch pieces ', '1   cup    all-purpose flour', '1/4  teaspoon    salt', '1/4  teaspoon    pepper', '3   tablespoons    olive oil', '3   tablespoons    cornstarch', '2   tablespoons    water']","['Pour into saucepan water, orange juice, lemon juice, rice vinegar, and soy sauce; and set over medium-high heat. Stir in orange zest, brown sugar, ginger, garlic, red pepper, and chopped onion. In a small bowl Mix 3 Tablespoons of cornstarch with 2 Tablespoons of cold water mix well and add it to your sauce. Bring to a boil. Remove from heat, and let cool 10 to 15 minutes.', 'Place chicken pieces into a resealable plastic bag. When contents of saucepan have cooled, pour 1 cup of sauce into bag. Reserve remaining sauce. Seal bag, and refrigerate at least 2 hours.', 'In another resealable plastic bag, mix the flour, salt, and pepper. Add marinated chicken pieces, and shake to coat.', 'Heat the oil in a large skillet over medium heat. Place chicken in skillet, and brown on both sides. Remove to paper towels, and cover with aluminum foil.', 'Wipe out the skillet, and add the sauce. Bring to a boil over medium-high heat. Mix together cornstarch and 2 tablespoons water, and stir into sauce. Reduce heat to medium low; stir in chicken pieces, and simmer, about 5 minutes, stirring occasionally.', 'Serve over Fried Rice or steamed white Rice.', 'Enjoy!']"
Bears in a Bubble Bath Mini Treats,"['1 (18 1/4  ounce) box   chocolate cake mix', '1/2  cup    butter, melted ', '1       egg', '24       Rolo chocolates, unwrapped  (optional)', '2   cups    miniature marshmallows', '48       Teddy Grahams chocolate graham snacks (any flavor) or 48       Teddy Grahams cinnamon graham snacks (any flavor)']","['Preheat oven to 350 degrees.  Mix cake mix, melted butter and egg together.  This should be like a soft dough.  Take a spoonful of batter and roll into a small ball.  Push dough ball into a mini-muffin tin.  Take a Rolo and push into the center of the batter.  Fill up the muffin tin and bake for 10 minutes.  Take the muffin tin out and add 3-4 mini-marshmellows on top of each treat.  Push in 2 Teddy Graham bear cookies into each treat.  Bake for 2 more minutes to melt the marshmellows a bit.  Cool and enjoy!', 'NOTE:  Please use muffin tin liners and spray with cooking spray --  these treats get sticky!']"
Deep Fried Coconut Shrimp,"['  vegetable oil, enough to fry shrimp ', '3/4  cup    flour', '1   teaspoon    salt', '1/2  teaspoon    ground ginger', '1/4  teaspoon    pepper', '3       egg whites', '2   cups   shredded unsweetened coconut', '1 1/2  lbs    large shrimp, cleaned and deveined ']","['Heat oil in deep fryer or deep skillet to 325*.', 'Meanwhile, mix flour, salt, ginger, and pepper.', 'Beat egg whites, just until foamy.', 'Coat shrimp with flour; dip into egg whites.', 'Pat coconut onto shrimp.', 'Fry, turning once, for about 2-3 minutes, until golden brown.']"
Mexican Tomato Soup,"['1   tablespoon    vegetable oil', '1   tablespoon    garlic, minced ', '2   teaspoons    ground cumin', '1 (48   ounce) can   V8 vegetable juice', '1       lime, juice of', '1 (16   ounce) can   diced tomatoes', '1 (15   ounce) can   kidney beans, drained ', '1 (16   ounce) can   corn', '2   tablespoons    fresh cilantro, chopped ', '  chili powder']","['Use the oil to saute the garlic and cumin briefly in a  soup pot.', 'Add the rest of the ingredients.', 'Bring to a boil and simmer 10 min or more.']"
Sopapilla Breakfast Delight,"['2 (8   ounce) packages   Pillsbury Refrigerated Crescent Dinner Rolls', '2 (8   ounce) packages   cream cheese', '1 1/2  cups    sugar', '3/4  cup    butter, divided ', '  cinnamon']","['Preheat oven to 350 degrees.', 'In the microwave or saucepan, melt 1/4 cup of butter.  Place in the bottom of a 13 x 9 inch baking pan.  Place one tube of crescent rolls over the butter and press together to close the seams.', 'Blend both packages of cream cheese with one cup sugar and spread over crescent rolls.', 'Layer the other package of cresent rolls over the cream cheese, closing the seams.', 'Melt the remaining 1/2 cup of butter and stir in the remaining 1/2 cup sugar.  Spread over the the top of the crescent rolls.  Sprinkle generously with cinnamon.', 'Bake for 45 minutes and let cool slightly and serve warm.']"
Crock Pot Italian Chicken,"['2       chicken breasts, cut in pieces ', '1/2  teaspoon    salt', '1/2  cup    flour', '1/4  cup    oil', '2       carrots, sliced ', '2       yellow squash, sliced ', '1   medium    onion, chopped ', '1       celery rib, chopped ', '1   teaspoon    Worcestershire sauce', '1/2  teaspoon    italian seasoning', '1/2  teaspoon    garlic powder', '1 (21   ounce) jar   spaghetti sauce', '1/2  cup    water', '1/4  cup    parmesan cheese']","['Cut chicken breasts into 2 inch pieces.  Salt and flour pieces. Lightly brown in oil.', 'Place chopped vegetables in crock pot.  Place chicken pieces on top.', 'Mix spaghetti sauce with water, worcestershire sauce, italian seasoning and garlic powder. Pour mixture over all.', 'Turn crock pot on low for 6 to 8 hours.  (or you may start on high for first hour and then low for 3 to 4 hours).', 'Serve over choice of pasta noodles and sprinkle parmesan cheese on top.', 'Enjoy!']"
Quick and Easy Chicken Satay,"['1   tablespoon    peanut oil', '800   g    chicken breasts (If you serve this as is without the rice I would up the chicken to 1kg-1.1kg for 4.) or 800   g    chicken tenders, chopped into pieces  (If you serve this as is without the rice I would up the chicken to 1kg-1.1kg for 4.)', '2       brown onions, sliced thinly ', '3       garlic cloves, crushed ', '50   ml    water', '1   teaspoon    chicken stock', '150   ml    satay sauce', '1   teaspoon    chili flakes', '250   ml    coconut milk', '200   ml    coconut cream', '2       green onions, sliced ']","['Heat the oil in a wok or large frying pan, stir fry chicken in batches, until browned all over and cooked. Remove and set to one side.\r', 'Cook onion and garlic in same wok, stir-until onion softens.\r', 'Return chicken to pan, add remaining ingredients except green onion, stir-fry until everything is hot and sauce has thickened slightly.\r', 'To serve: Spoon chicken over rice and sprinkle with green onions.']"
Italian Eggplant Ragout,"['2   medium    eggplants, halved ', '2   tablespoons    salt', '2   tablespoons    olive oil', '1   large    onion, chopped ', '2       garlic cloves, minced ', '1 (15   ounce) can   diced tomatoes, drained ', '1 (15   ounce) can   chickpeas, rinsed and drained ', '2   tablespoons    capers', '1   teaspoon    sugar', '1/4  cup    parsley, chopped ']","['Scoop out center and seeds of eggplant halves. Cut eggplants into 3/4 inch dice. Toss with salt in bowl and let it stand for at least 20 minutes. Drain off the fluid that collects, rinse well, and pat dry.\r', 'Heat olive oil in large saucepan over medium heat. Add onion, and saute until softened (about 5 minutes.) Add garlic, and cook 1 minute more, or until fragrant. Stir in tomatoes, chickpeas, and eggplants. Reduce heat to medium-low, and cook 15 minutes, or until eggplants are tender but not mushy. \r', 'Stir in capers and sugar, and cook 2 minutes more. Fold in parsley, and season with black pepper.']"
Mr. Dell's Original Potato Casserole,"[""10   cups   mr. dell's shredded hash browns"", '1/4  cup    butter or 1/4  cup    margarine', '1 (10   ounce) can   cream of chicken soup (or cream of anything soup)', '12   ounces    sour cream', '1/2  cup    milk, I always use skim ', '1/2  cup   chopped green onion', '2   cups   grated cheddar cheese', '  salt and pepper']","['Preheat oven to 375 degrees.', 'Melt 1/4 cup butter or margarine and pour into a 9X13 inch baking dish, then add 5 cups of the shredded hash brown potatoes, no need to thaw.', ""In a separate bowl, mix soup (in a pinch, I've used cream of celery and cream of mushroom and it turned out fine), sour cream, milk, and green onions, then pour 1/2 of this mixture over the hash browns.  Spread the mixture around over the hashbrowns evenly using a spatula.  Salt and pepper to taste."", 'Sprinkle one cup grated cheese on top.', 'Add the remainder of the hash brown potatoes and pour the remaining soup mixture on top, again, spread out evenly using a spatula.  Salt and pepper to taste.', 'Sprinkle remaining cheese on top.', 'Bake for 55 minutes.', ""**If at the end of the 55 minutes baking time the top hasn't browned to your liking, set the oven to broil and it will quickly brown the top of the cheese to a crispy golden brown."", 'When done, let set up for 5-10 minutes before cutting into servings.']"
Spanish Chicken &amp; Rice Bake,"['1 (10 3/4  ounce) can   cream of chicken soup', '1   cup    salsa', '1/2  cup    water', '1   cup    whole kernel corn', '3/4  cup   uncooked long-grain white rice', '4       boneless chicken breast halves', '1/2  teaspoon    chili powder', '1/2  cup    shredded cheddar cheese', '1   cup    canned black beans, washed  (optional)']","['Mix soup, salsa, water, corn, and beans (optional) and rice in 2-quart shallow baking dish.', 'Top with chicken (seasoned with salt and pepper) and sprinkle with chili powder.', 'Cover tightly with casserole lid or foil.', 'Bake at 375&deg;F for 45 minutes or so.', 'Sprinkle with cheese.']"
The Real Deal Irish Breakfast,"['1   link   clonakilty pork sausage', '5 -6   slices    lean bacon (rashers )', '1   inch   of thickly sliced disks of clonakilty white pudding sausage', '1   inch   of thickly sliced disks of clonakilty blood pudding sausage', '5       button mushrooms', '4       eggs', '1   tablespoon   of kerrygold real irish butter', '  salt and pepper', ' irish brown bread', '  Heinz ketchup', '2   glasses   of freshly squeezed orange juice', ' irish tea, 1 pot of  (barrys or lyons are great blends )']","['Heat a frying pan with a little oil.  Fry the sausages slowly over a medium heat - keep turning.', 'Add the pudding to the pan  and continue to cook.  Put sausages  and pudding on a plate and keep warm in the oven.', 'Place rashers on frying pan and cook until colour has darkened and they crisp - transfer to oven.  Add more oil to the frying pan and saut&eacute; the mushrooms.', 'Add as many eggs are you want per person and fry however you prefer them.', 'Add the salt and pepper to the mushrooms.', 'Serve all ingredients on a plate and serve with crusty french bread (aka breakfast roll - popular hangover cures sold in petrol stations in Ireland ) or with Irish brown bread . Add ketchup to taste. Loads of Kerrygold Irish butter for the bread is yum as it is slightly salty and has a gorgeous flavour.  Round it all of with a glass of cold orange juice and a strong cup of tea!']"
Sheila's Sauteed Soft-Shell Crabs With Lemon Butter Sauce,"['6       soft shelled crabs, cleaned and rinsed ', '1   cup    all-purpose flour', '2   tablespoons    Old Bay Seasoning', '2       eggs, beaten ', '2   tablespoons    milk', '6   tablespoons    extra virgin olive oil', '1/4  cup    butter', '2   tablespoons    capers, drained ', '1/2  cup    dry white wine (I always use Sauvignon Blanc)', '4   medium    lemons, juice of', '2   tablespoons    fresh flat-leaf parsley, chopped ']","['In Ziploc bag, add flour and Old Bay seasoning.  Seal and shake to mix.', 'In bowl, combine eggs and milk.', 'Dredge crabs in egg mixture, then add to seasoned flour and shake to coat.  Shake off excess when removing from bag.', 'Heat 3 T. oil in large saute pan or skillet over medium heat.  Add 3 crabs in a single layer and cook for about 3 minutes, then turn and cook for another 3 minutes.  The crabs should be nice and golden brown.  (Be careful when cooking, because they sometimes will pop and/or spatter.)  Remove crabs to serving dish.', 'Heat remaining 3 T. oil in pan, then add the next 3 crabs and repeat cooking instructions.', 'Do not clean out pan when crabs are removed, but add butter.  Let the butter melt and turn a little brown.  Add the capers and the wine.  Cook for about 1 minute, then add the lemon juice and the parsley.  Cook for about 2 more minutes, or until reduced by about a third.  Pour sauce over the crabs and serve.']"
Southern Living's Cream Cheese Pound Cake,"['1 1/2  cups    butter, softened ', '1 (8   ounce) package   cream cheese, softened ', '3   cups    sugar', '6   large    eggs', '1   tablespoon    vanilla extract', '3   cups    all-purpose flour', '1/8  teaspoon    salt']","['Preheat oven to 300&deg;F.\r', 'Use an electric mixer to mix both butter and cream cheese until creamy.\r', 'Gradually add sugar and beat for 5 minutes, then add eggs one at a time, allowing each to incorporate before adding more. Stir in vanilla.\r', 'Sift flour and salt and add gradually to the mixer, beating until well blended. \r', 'Pour batter into a well greased and floured bundt pan or tube cake pan.\r', 'Place 2 cups water in an ovenproof container on the rack in the oven next to the cake.\r', 'Bake cake at 300 for an hour and 45 minutes, or until a toothpick can be removed cleanly.\r', 'Place pan on a wire rack and cool for 15 minutes, then remove the cake from the pan and complete cooling on the wire rack.']"
Thai Chicken Fried Rice with Basil - Kao Pad Krapao,"['2   tablespoons    vegetable oil', '3   cloves    garlic, minced ', '1   tablespoon   chopped fresh Thai red chili pepper', '8   ounces    boneless skinless chicken breasts, cut into bite-size pieces ', '2   cups   cold cooked rice', '1   tablespoon    sugar', '1   tablespoon    fish sauce', '1   tablespoon    soy sauce', '2   tablespoons   chopped shallots', '1/3  cup    Thai holy basil (regular basil ok)', '1   tablespoon   chopped fresh cilantro']","['In a wok or large skillet, stir-fry garlic in oil until golden; then add chilies and chicken and stir-fry until chicken is cooked.', 'Add rice, sugar, fish sauce, and soy sauce, and stir-fry, mixing gently.', 'When well mixed, add shallots, basil leaves and cilantro; cook another minute or so, and serve.', 'If you desire, serve with lime wedges, chile sauce, fish sauce, or soy sauce at the table.']"
Pioneer Woman Fresh Corn and Wild Rice Casserole,"['2   cups    cooked wild rice', '3 -4   cups    fresh corn kernels (scraped off the cob)', '2       eggs, beaten ', '1   cup    heavy cream', '1 -2   teaspoon    kosher salt (or table salt to taste)', '  cayenne pepper', '6   tablespoons    butter', '1/2-1   cup    milk, for thinning ']","['Preheat oven to 350 degrees.', 'Cook wild rice in chicken broth until almost done. Rice should still have a firm (but not crunchy) bite. Drain rice and allow to cool.', 'Scrape corn kernels into a large mixing bowl. Add in cream, butter, beaten eggs, salt, and cayenne pepper. Stir together.', 'Add in cooled wild rice, stirring gently. Splash in milk so that mixture is stirrable, but not overly juicy.', 'Taste for seasonings, adding more salt or cayenne pepper if needed.', 'Bake for 30 to 45 minutes, or until just turning golden brown on top and mixture is somewhat set.']"
Pumpkin Flan,"['1   cup    white sugar', '1 (14   ounce) can   pumpkin pie filling', '1 (12   ounce) can   evaporated milk', '1 (8   ounce) can   sweetened condensed milk', '6       eggs', '1   teaspoon    vanilla extract', '1   teaspoon    allspice']","['Preheat oven to 350 degrees.  Melt 1 cup sugar in a pan over medium heat. Stir until it caramelizes, being careful not to burn the sugar.  After caramelizing the sugar, quickly throw it in the mold you are using for the flan, and move the mold around so the bottom of the mold will be covered with the caramelized sugar and set aside. It will become hardened.', 'Combine the pumpkin pie filling, evaporated milk, condensed milk, eggs, vanilla, and allspice in a blender, and blend until smooth.  Pour the mixture into the caramelized pan.', 'Place the pan with the caramelized flan into a bigger mold filled with about 1 &quot; of hot water.', 'Being very careful not to spill the water, and get burned or have the water get into the flan,.', 'Bake in preheated oven for about 50 min or until a knife inserted in the center comes out clean,  Refrigerate for at least 3 hours.  I usually leave it in the same pan if its just for our family and then serve as needed,.']"
Coffee Ice Cream Pie,"['2 (1   ounce)    unsweetened chocolate squares', '1/4  cup    butter, cubed ', '1 (5   ounce) can   evaporated milk', '1/2  cup    sugar', '1   pint    coffee ice cream, softened ', '1 (8   inch)    chocolate crumb crusts', '1 (8   ounce) carton   frozen whipped topping, thawed ', '1/4  cup   chopped pecans']","['Melt chocolate and butter.', 'Stir in milk and sugar.', 'Bring to a boil, stirring constantly.', 'Cook and stir until thickened.', 'Remove from the heat and cool completely.', 'Spoon ice cream into crust.', 'Stir sauce and spread over ice cream.', 'Top with whipped topping and sprinkle with pecans.', 'Freeze until firm.', 'Remove from the freezer 15 minutes before serving.']"
M'shewsha - Algerian Egg Dish for Breakfast or Coffee,"['5   large    eggs', '100   ml    vegetable oil or 100   ml    canola oil', '1   tablespoon    fine semolina (really heaped)', '2   tablespoons    plain flour (really heaped)', '1 1/2-2   teaspoons    baking powder', '1   teaspoon    vanilla flavoring or 1/2  teaspoon    extract', '1   pinch    salt', '1/2-3/4  cup    honey']","['Pour all the ingredients into a blender / liquidizer &amp; mix well.', ""Pour into a large (25cm-30cm) non stick frying pan / skillet. If you don't have a non stick pan, just wipe or spray with a littlle cooking oil first."", 'Cook on a low- only just medium heat with the lid on until it is puffed up, the sides come away from the pan &amp; the top is almost totally firm &amp; no longer sticky - this should take about 15 minutes.', ""Carefully, slide the M'shewsah onto a dinner plate (you mustn't knock it or it will deflate!) Then return to the pan, with the cooked side up - hold the pan over the plate &amp; flip carefully."", 'Cook for a further 10 - 15 minutes &amp; turn out onto a plate.', 'Warm honey in the microwave until just warm enough to pour.', ""Cut the M'shewsha into 8 slices - but do not separate the slices. Pour the honey all over &amp; allow to soak for a minute or two before serving."", ""You can eat M'shewsha warm or cold.""]"
Cheesy Broccoli Rigatoni,"['12   ounces   uncooked rigatoni pasta', '3       garlic cloves, minced ', '1/4  cup    butter, cubed ', '1/4  cup    all-purpose flour', '1   teaspoon    salt', '1   tablespoon    olive oil', '2 1/2  cups    nonfat milk', '5   cups    fresh broccoli florets', '2   cups   shredded part-skim mozzarella cheese, divided ']","['Cook pasta according to package directions.  Meawhile, in a large saucepan, saute garlic in butter over medium heat for 2 minutes.  Stir in flour and salt until blended.', 'Gradually add milk.  Bring to a boil; cook and stir for 2 minutes or until thickened.  Remove from heat; set aside.  Drain pasta and toss with oil; set aside.', 'Add 1 inch of water to a large saucepan; add broccoli.  Bring to a boil.  Reduce heat; cover and simmer for 4 - 5 minutes or until crisp-tender.  Drain and rinse with cold water.', 'in a 13 x 9 x 2 baking dish coated with nonstick cooking spray, layer 1 cup white sauce, half of the pasta and broccoli and 1/2 cup of cheese.  Repeat remaining layers.  Top with remaining sauce and cheese.  Cover and bake at 350 degrees F for 25 - 30 minutes or until heated through.']"
